"Reference","Value","Name","URL","Price","Qty"
"SW2","CAN_R","SLW-913535-2A-SMT","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/SLW-913535-2A-SMT/21259974?_gl=1*2eq727*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjwqIm_BhDnARIsAKBYcmtr85GvWvmuwiIiB0lEAl5wBh9HzS525Q1VXsHXNad484Q9yd81RwYaAhDCEALw_wcB&gclsrc=aw.ds","87","1"
"SW3","SW_Coded","RDS-16S-1055-SMT-TR","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/RDS-16S-1055-SMT-TR/12424507","458","1"
"U1","TLV1117-33","TLV1117-33CDCYR","https://www.digikey.jp/ja/products/detail/texas-instruments/TLV1117-33CDCYR/1216718","63","1"
"U2","STM32F303K8Tx","STM32F303K8T6","https://akizukidenshi.com/catalog/g/g110790/","780","1"
"U3","MCP2561/2FD","MCP2562FDT-E/SN","https://www.digikey.jp/ja/products/detail/microchip-technology/MCP2562FDT-E-SN/4860105","202","1"
"U4","CH340E","CH340E","https://akizukidenshi.com/catalog/g/g113543/","90","1"
"U5","LED_GRB","SMLVN6RGB1W1","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLVN6RGB1W1/5053781","244","1"
"U6,U7","TLP293-4","TLP293-4(LGBTPE(T","https://akizukidenshi.com/catalog/g/g116115/","100","2"
"Y1","Crystal_GND2","XRCGB32M000F1SADR0","https://www.digikey.jp/ja/products/detail/murata-electronics/XRCGB32M000F1SADR0/21662918?s=N4IgTCBcDaIBoCUDCBxAQgZjAWQAz4DEBGAZQEEARBXEAXQF8g","52","1"
"D1","LED","SML-D12D8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","30","1"
"D2,D3,D5","CAN_RX,CAN_TX,Data","SML-D14MWT86A","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D14MWT86A/9448204","53","3"
"D4,D6","D","PMEG3010ER,115","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3010ER-115/2119868 ","30","2"
"D7,D8,D9,D10,D11,D12,D13,D14","D","SL1J","https://www.digikey.jp/ja/products/detail/diotec-semiconductor/SL1J/13154909","16","8"
"D15","LED","SML-D12U8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12U8WT86/1641799","30","1"
"D16,D17,D18,D19,D20,D21,D22,D23,D24","CAN_R,SOL1A,SOL1B,SOL2A,SOL2B,SOL3A,SOL3B,SOL4A,SOL4B","SMLD12BN1WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","48","9"
